name,subject0,subject1,subject2,subject3
Inga Burbage,4.6,1.2,8.2,7.0
Dominick Endicott,8.4,5.4,1.9,1.1
Rex Whiteside,5.7,6.0,3.1,6.1
Laura Hendler,7.4,6.4,1.6,2.3
Cory Johnson,3.1,1.1,4.3,4.0
Floyd Tonn,3.8,7.9,7.2,9.2
Anthony Lazarine,7.5,2.8,5.4,1.7
David White,10.0,5.1,5.5,2.5
Jane Najera,1.9,5.5,5.9,5.9
Jennifer Collins,4.1,1.9,4.9,9.9
Erica Fergerson,2.3,6.7,9.6,8.1
Alison Sacco,10.0,0.4,2.4,0.5
Joseph Duncan,5.3,2.3,9.9,3.4
Kevin Osborne,3.3,5.8,5.4,2.3
Russell Davis,10.0,1.9,0.7,0.6
Earl Strope,10.0,4.3,7.1,0.0
Peter Jones,7.2,7.1,1.9,4.2
Ron Gibson,2.3,5.0,1.4,3.5
Clarence Corriveau,10.0,1.3,8.8,10.0
Lillian Gandhi,3.5,4.4,10.0,7.9
Graig Melton,4.4,9.5,8.5,6.5
Linda Martin,5.8,7.5,6.4,2.7
Michael Healey,5.7,2.3,7.6,3.6
Deborah Lauterbach,2.4,8.8,0.1,6.7
Thomas Bell,9.1,9.9,5.7,3.0
Gary Richardson,1.7,1.7,3.0,3.5
Frederic Tate,3.5,6.1,0.7,4.5
Jennifer Judy,6.7,2.7,2.5,9.1
Barbara Perkins,8.0,10.0,3.4,1.7
Ryan Macdonald,6.0,0.7,6.4,10.0
David Gladden,7.9,3.0,2.4,2.5
Gwendolyn Meigs,6.5,8.4,4.8,10.0
Rodney Flowers,7.2,3.9,5.9,8.9
Michael Roundtree,8.6,1.5,8.7,10.0
Amber Easton,10.0,8.9,5.2,7.0
Lesa Pinckney,5.4,2.0,5.8,2.5
Jennifer Lundquist,6.6,4.8,10.0,2.0
David Thompson,3.3,7.6,0.5,2.9
Cynthia George,5.1,3.6,8.1,7.7
Chelsea Colvin,4.0,6.6,8.8,7.4
Katherine Slick,1.0,9.8,7.4,2.5
Renee Runyon,2.0,1.5,1.7,6.6
Richard Lackey,1.2,4.1,8.7,7.3
Randall Thompson,2.1,5.0,3.7,7.4
Dominic Syphers,5.2,2.3,1.6,4.6
Rachel Reif,0.8,7.4,10.0,4.8
Ron Perry,4.1,4.5,8.5,7.7
Jason Jones,1.0,5.8,3.4,10.0
Ramona Morris,3.1,9.9,6.0,9.1
Lee York,7.7,2.5,7.6,7.4
Marcus Stuart,10.0,1.4,2.2,5.6
John Metcalf,4.7,8.7,4.5,1.9
Gloria Torris,6.2,3.6,0.4,10.0
Melissa Ford,2.8,1.3,8.2,9.4
Elizabeth Williams,8.1,0.6,9.9,8.0
Jorge Reynolds,7.0,2.9,1.3,4.1
Linda Dillon,8.2,2.5,0.8,1.4
Abigail Smith,1.6,4.6,8.7,3.6
Elizabeth Williams,3.8,3.4,5.5,2.3
Mary Hayes,7.0,1.0,9.1,2.6
Katrina Mckain,1.5,5.2,3.8,10.0
Gilbert Williamson,9.2,5.2,1.6,6.2
Robert Cannon,3.9,2.9,6.6,2.8
David Knutson,6.8,2.5,3.1,3.5
Thomas Mills,2.2,3.5,9.2,1.5
Mark Michael,2.2,6.7,8.3,7.5
Edwin Craig,1.4,4.3,6.8,2.4
Rachel Toney,1.3,3.7,7.9,8.9
Franklin Buchanan,0.2,1.8,7.9,4.3
William Bowe,5.1,2.5,5.8,1.3
Lana Cook,0.7,7.4,3.4,8.8
Ronald Lusby,10.0,2.6,5.7,9.9
George Scott,0.5,10.0,1.2,5.2
Ruth Springer,0.5,0.6,4.9,1.2
Monte Gardner,3.1,3.3,1.5,2.8
Glen Phillis,0.6,1.7,6.0,7.9
Michael Burress,0.2,9.7,2.4,5.5
Martha Bergstrom,3.7,8.7,2.8,3.1
Daniel Smith,0.7,9.6,10.0,5.4
Joseph Sarkis,3.2,9.9,9.4,6.6
Diana Bowers,5.6,2.9,0.0,0.5
Heidi Lopez,10.0,4.9,10.0,6.3
Jackson Barbour,8.7,3.6,6.5,6.5
Stephen Peoples,0.1,1.5,10.0,5.7
John Stuart,1.9,6.2,10.0,2.7
Pedro Parks,1.9,1.0,3.6,5.9
Deborah Mandolini,6.9,3.3,8.3,5.1
Alice Caston,1.8,3.2,5.3,9.4
Melissa Pelley,1.6,3.5,5.7,9.3
Michael Fitzgerald,1.4,3.9,10.0,2.4
Wesley Rivera,6.9,9.6,0.3,0.4
Clarence Box,4.5,2.6,5.0,5.2
Barbara Murders,9.5,2.7,1.5,8.0
Dan Linn,6.4,6.7,10.0,9.9
Jim Gonzalez,0.5,7.3,7.6,8.9
Donald Zamora,8.6,6.3,1.1,4.0
Kathryn Nations,4.8,8.1,2.9,9.8
Israel Hogan,10.0,9.1,7.6,0.9
Joseph Mckenny,5.7,1.3,7.7,2.9
Robert Trainor,3.5,6.0,3.3,5.6
Mary Pack,0.2,8.5,9.5,6.2
Pamela Marion,3.9,1.6,6.8,0.1
Roberta Cole,6.4,7.5,0.6,3.4
Brittany Harrell,8.5,10.0,10.0,9.5
Tamara Flaherty,8.2,4.5,8.2,10.0
Brian Struthers,10.0,7.6,5.8,4.3
Johnny Hambleton,7.6,7.3,0.9,5.8
Tony Davis,8.2,6.8,1.2,8.8
Jose Wood,2.0,2.7,6.4,9.7
Felecia Avila,6.2,4.8,6.4,7.4
Angelina Jackson,1.1,4.2,0.0,9.5
Brandy Carey,1.0,8.2,6.3,8.2
David Burns,4.1,3.6,5.0,8.0
Joe Havens,9.5,9.3,5.6,9.1
Howard Falck,5.2,7.0,3.9,6.7
Marian Zachmann,3.7,9.7,3.9,8.5
Mildred Chapman,7.0,6.4,8.9,4.2
Diane Kelly,1.5,10.0,5.1,0.6
Rachel Evanich,5.4,8.3,10.0,8.5
Elizabeth Luchetti,4.6,6.8,4.9,1.7
Antonio Britt,2.7,4.7,6.4,6.3
Pedro Hernandez,6.4,2.5,8.7,2.8
Marsha Green,3.7,9.2,8.0,4.0
Richard Atwell,7.2,7.3,6.9,8.7
Harold Strecker,1.5,0.5,9.6,3.7
Joyce Hill,4.4,5.7,10.0,4.0
Craig Nutter,4.3,5.0,4.8,1.3
Katherine Gardner,6.1,6.4,10.0,8.4
Betty Hunt,7.2,3.1,3.9,1.5
Nicole Stevens,8.4,2.1,8.5,0.1
Laura Sherrer,1.2,9.0,9.5,3.9
David Sanders,5.6,7.4,5.0,3.4
Michael Haines,2.5,3.4,9.0,9.7
Georgia Baker,6.7,10.0,1.0,1.6
Kimberly Broyles,8.0,7.9,5.3,3.6
John Gentry,1.1,4.4,8.5,6.6
Robert Black,0.7,9.1,4.0,10.0
Florence Perry,2.9,1.0,10.0,7.3
Harry Matheson,0.3,10.0,9.5,7.7
Edna Bristol,10.0,5.1,9.3,5.3
Shawn Salazar,10.0,9.5,0.7,2.9
Tracy Hawkins,0.0,4.5,2.2,9.2
Rick Stevenson,8.5,6.4,4.1,3.8
Lorena Rockman,4.7,3.7,4.9,4.1
Mark Bolin,6.5,0.3,6.6,5.6
Elizabeth Treuter,7.1,2.2,9.0,6.2
Jeffery Olaughlin,9.9,3.9,10.0,7.5
Marguerite Fritz,5.6,10.0,1.7,2.3
Constance Farmer,9.4,4.5,7.7,8.5
Arturo White,6.4,4.5,4.7,10.0
Jerald Kuebler,2.0,0.8,4.9,5.0
Elizabeth Watson,3.5,0.5,10.0,10.0
Kathleen Dixon,7.8,7.1,9.9,2.5
Brandi Mabe,0.9,2.3,0.7,6.8
Heather Preston,2.2,2.2,8.5,10.0
Dong Moore,2.5,7.2,3.9,5.1
Sandra Moore,5.2,9.5,10.0,6.2
Kevin Davila,7.3,4.9,10.0,1.1
Concetta Blackburn,0.5,7.8,10.0,0.2
Dianna Woodard,6.1,7.4,1.5,3.2
Patricia Perry,2.5,4.3,10.0,8.8
William Byles,0.3,6.2,0.9,7.3
Steve Bowen,3.7,8.0,5.3,8.9
Denise Smith,5.9,8.6,0.9,6.0
Chanell Young,5.1,0.4,10.0,6.4
Lester Tucker,4.1,1.2,2.2,10.0
Rick Perez,7.5,2.1,7.0,7.6
Alice Salinas,8.9,2.1,8.3,0.3
Anthony Parrish,9.0,1.7,2.5,2.1
Blanca Brown,9.9,6.7,3.4,9.3
Kevin Brust,4.9,4.9,9.7,10.0
John Valdez,1.4,7.4,4.5,10.0
Jennifer Nolie,0.6,6.6,6.3,5.0
Amanda Hodo,5.5,0.0,4.9,0.8
Edward Grey,7.3,3.5,4.0,9.3
Elijah Cisneros,3.9,4.7,1.9,4.1
Nicholas Hyde,9.4,6.6,5.0,10.0
Alex Matson,0.6,9.2,10.0,5.1
Amanda Whitemore,3.2,4.1,4.0,9.6
Barry Jordan,1.3,8.1,3.6,9.0
Darlene Ibarra,0.2,9.5,7.6,5.2
Lucy Jones,2.9,3.1,1.0,8.1
Justa Bosch,10.0,7.1,0.1,0.0
James Randall,10.0,8.6,5.8,7.7
Claudia Hampson,8.3,5.1,5.6,8.8
Robert Hudson,2.3,8.8,2.2,1.3
Lucille Schaeffer,0.5,2.8,4.8,6.6
Linda Calloway,7.4,9.3,8.4,1.2
Tessie Blackmon,1.7,4.5,9.4,4.0
Barbara Hailey,3.4,3.6,2.2,3.9
Mary Debartolo,10.0,7.2,10.0,5.4
Henry Vo,10.0,2.7,5.8,6.8
Gerald Imes,8.9,7.8,10.0,0.4
Bobbie Sands,5.2,4.0,3.2,5.3
Raleigh Martell,2.8,3.2,0.4,1.9
Johnnie Bauer,9.5,6.3,4.4,1.4
Jane Page,2.8,8.5,3.9,6.0
Michael Mclean,2.9,6.5,6.2,3.6
Charles Daniels,6.8,6.3,9.6,6.3
Irma Cunningham,10.0,1.8,9.5,4.8
Alisha Garner,5.0,10.0,0.7,2.3
Norman Lightfoot,10.0,7.9,0.2,7.9
Carlton Arellano,3.0,10.0,9.5,8.1
Luella Underwood,0.5,8.0,10.0,2.8
Debbie Doland,8.1,7.2,4.8,7.6
Donald Ryburn,0.4,10.0,4.3,6.1
Pamela Kruchten,9.1,8.2,7.8,3.3
Paula Bradford,9.1,0.0,10.0,6.6
William Hibbitts,7.3,4.9,5.5,9.3
Mark Ouellette,5.7,9.0,8.6,2.7
Lester Brookins,5.6,5.6,3.5,1.3
Charles Newman,7.2,6.6,7.7,2.8
Jane Hernandez,4.2,9.1,8.5,0.2
Sylvia List,7.3,7.6,2.5,4.6
Wanda Savini,0.3,0.2,5.8,6.9
Jessica Chappell,6.2,1.6,6.5,2.8
Rosa Martinez,7.6,6.2,6.3,1.2
Ruth Vanderlip,0.2,3.0,1.8,4.1
Mickey Metcalf,3.1,4.6,5.9,0.5
Maurice White,7.6,6.8,8.2,3.6
Dianne Hayes,3.0,4.9,10.0,6.9
Donald Gagnon,0.4,1.1,7.2,4.3
Wayne Marquez,0.4,1.0,10.0,5.6
Tabitha Shaw,8.1,3.2,8.3,0.4
Lucinda Rodriguez,4.4,0.3,3.4,8.8
Dennis Meza,2.0,0.6,2.7,9.9
Eugene Knox,9.9,10.0,3.4,2.7
Michael Lemon,0.3,1.3,1.0,6.5
Charlie Spann,4.6,5.3,4.2,1.7
David Watters,8.5,7.5,9.9,3.5
Gloria Nelson,4.8,3.7,2.6,5.8
Wendy Sanchez,0.5,10.0,7.1,8.0
Janel Asberry,9.8,7.3,2.4,2.4
Lorraine Criger,1.2,3.7,6.2,5.5
Katherine Motley,7.8,6.7,7.9,8.2
Jack Underwood,9.3,5.4,5.2,3.7
Clifford Ward,4.6,4.0,8.7,0.3
Regina Thomas,9.5,7.1,6.3,10.0
Juan Rivera,8.2,2.8,8.5,9.5
Linda Miller,1.0,5.7,5.0,10.0
Brandon Hall,5.5,8.9,2.9,4.6
Arthur Graham,3.5,3.4,10.0,8.9
Ashley Nunez,5.0,1.7,5.8,0.3
John Rodriguez,3.6,8.9,3.2,2.0
Alda Jewell,7.3,8.5,10.0,7.0
Bernadette Coleman,9.5,6.8,3.0,5.9
Peter Christensen,3.4,8.5,7.5,6.7
Linda Lamothe,7.5,9.6,7.1,2.5
Warren Morgan,8.5,1.7,8.3,10.0
Luis Nunez,6.2,3.0,8.3,5.2
Pamela Anderson,2.2,5.0,0.1,1.1
Cynthia Arango,6.3,10.0,6.0,7.4
Rachel Winston,9.7,7.7,9.5,1.5
Robert Owens,7.6,6.2,5.6,4.7
Bonnie Wright,1.0,10.0,9.7,4.8
Jessica Diaz,9.6,4.0,5.6,3.2
Denise Harris,1.5,10.0,7.0,10.0
Carol Hernandez,3.2,7.0,6.9,5.9
Margaret Freeman,10.0,9.0,5.3,1.9
Jim Robbins,4.8,10.0,4.2,7.6
Esperanza Paris,1.1,4.0,2.5,4.5
Leonard Pierre,5.8,6.3,1.0,2.8
Robert Grissom,2.6,5.6,10.0,8.9
Kenneth Bates,9.7,6.0,4.4,5.4
Jason Rabe,5.4,8.5,2.3,4.3
Sara Green,10.0,1.5,1.7,3.0
Bobby Banks,7.3,7.9,6.4,0.6
Michelle Crandell,10.0,7.3,10.0,5.4
Linda Castillo,2.8,10.0,0.0,3.2
Afton Wright,5.6,2.7,7.5,3.2
Byron Chiang,6.9,10.0,5.8,0.6
William Soto,10.0,1.2,2.2,9.2
John Grant,9.8,2.9,8.1,9.9
Joseph Saunders,9.4,5.4,1.2,8.7
David Tenneson,2.3,1.7,2.5,7.8
Chelsea Souza,8.2,6.1,3.2,0.8
Sharon Byrne,1.0,1.6,8.0,0.9
Dorothy Kraus,9.4,2.9,7.1,7.9
Patrick Clerc,9.9,10.0,7.3,10.0
Edward Smiley,0.5,6.3,9.2,9.1
Diana Shreffler,5.8,3.3,3.5,9.8
Jenny Battista,4.0,3.8,9.2,8.3
Brian Rice,10.0,0.7,0.8,4.5
Erin Enos,10.0,4.5,1.3,8.4
Thomas Fiscalini,6.6,9.1,7.6,1.6
Cheryl Griffin,0.5,3.8,4.4,3.1
Edward Evans,2.5,3.4,7.2,3.5
Delores Saunder,1.4,1.6,5.3,4.5
Maureen Beavers,6.1,3.4,5.2,7.6
Don Snyder,10.0,8.9,3.9,6.4
Horace Palmer,2.5,7.5,0.1,10.0
Ruth Sutton,8.0,10.0,9.4,9.7
Woodrow Mize,0.9,9.4,3.5,2.3
Wilbur Mccorrison,6.6,2.5,1.9,2.7
Edgar Nieves,3.2,5.8,5.3,2.0
Lan Lawrence,3.6,7.6,6.5,4.9
Donald Mcgovern,2.2,5.8,1.6,5.3
Ellen Brown,3.7,9.0,9.8,9.5
Ruth Rodriguez,9.8,2.4,9.4,3.9
Daniel Gonzales,9.7,1.0,3.1,8.8
Lois Foye,0.8,7.0,4.5,7.2
Christopher Chester,3.3,1.2,10.0,1.6
Lon Anderson,3.9,0.7,9.8,2.1
Robert Hale,8.7,7.1,0.1,3.7
Dan Rosales,10.0,6.8,4.3,5.8
Andrea Craft,3.1,1.0,4.1,4.3
Norman Johnson,2.6,6.2,3.5,1.8
Angel Tejeda,10.0,5.5,9.2,5.7
Kathleen Smith,7.5,2.8,1.4,0.9
Maryanne Vasquez,6.1,7.6,7.9,1.4
Daniel Nichols,0.4,6.0,10.0,4.4
Sean Fletcher,3.0,1.8,7.2,0.2
Sally Wilsey,6.1,9.5,0.9,5.4
Mollie Woolbright,3.7,6.6,10.0,7.2
Mary Booker,7.5,3.1,3.7,9.2
Margaret Trotter,0.4,9.3,3.8,8.2
Kathrine Rocha,2.7,7.4,3.8,5.8
Arthur Stephens,9.8,10.0,1.5,0.5
John Wilkinson,6.9,8.6,10.0,4.9
Nancy Koroma,4.7,6.8,8.8,7.8
Manuel Crenshaw,10.0,6.2,1.1,6.4
Everett Cooley,4.8,0.1,7.8,3.9
Elizabeth Cronin,1.9,6.7,4.8,8.1
Randal Lasley,5.0,7.0,2.5,7.1
Claire Billings,8.9,8.6,5.0,8.3
Ross Endres,7.1,2.5,5.2,8.5
Mary Williams,5.9,6.6,9.9,6.6
Casey Hill,9.6,7.6,1.6,10.0
Bessie Weathersby,9.4,4.6,0.0,6.8
Anne Huddleston,2.0,2.4,3.9,1.0
Joshua Sherrill,7.3,7.2,8.5,1.8
Demetrius Emerson,10.0,0.2,7.5,5.4
Patricia Mares,5.3,2.8,5.1,2.6
Sonja Tong,1.3,10.0,5.3,4.4
Marcos Fraiser,10.0,9.1,9.2,10.0
Florence Cronin,9.9,1.4,5.3,10.0
Linda Mccurdy,0.9,6.7,7.5,10.0
Susan Adamski,6.1,2.7,10.0,3.2
Kristy Keske,0.5,9.2,3.2,1.6
Brian Rubin,2.8,5.4,5.7,0.5
James Stackhouse,9.6,7.6,4.2,0.3
Ron Fahnestock,10.0,9.7,4.0,0.0
Colby Salem,9.8,6.1,6.5,4.6
John Phariss,8.6,3.9,3.5,9.4
Lizette Jones,4.1,5.7,4.8,4.4
Timothy Garcia,6.2,0.7,6.1,10.0
Charles Tallie,7.2,9.9,0.6,2.1
Donna Soukup,10.0,1.8,0.4,0.4
Nanci Harker,9.4,6.1,5.1,4.9
Linda Carrera,5.8,4.8,2.9,6.5
Robert Morales,9.2,6.8,5.6,3.8
Danielle Knobloch,0.6,5.1,3.1,0.8
Diana Archer,5.0,6.2,3.3,0.9
Edwin Jurczyk,0.2,6.0,10.0,4.6
Ryan Bernstein,3.6,3.0,8.3,1.8
Elaine Hedrick,8.4,6.5,5.1,7.8
Michael Zaring,8.8,6.2,1.8,8.7
Robert Winter,4.5,7.4,6.7,6.0
Jean Smith,6.4,8.8,0.2,1.5
Bobby Oneill,0.9,4.1,5.7,4.8
Dorothy Briseno,4.1,7.5,4.5,10.0
Toni Miller,8.6,9.1,9.5,2.1
Tami Howell,2.3,7.2,2.7,6.7
Stacey Fairman,0.4,9.4,4.8,6.2
Joseph Tucker,1.4,5.5,3.8,10.0
Debra Whitesel,8.4,2.8,7.2,8.0
Joelle Woods,0.5,6.5,1.6,7.9
Sarah Pendleton,7.4,9.7,3.0,2.5
Elsie Yeomans,0.7,10.0,9.0,3.8
Erma Olivares,1.5,7.2,3.1,8.8
Emilia Vickers,7.9,0.7,9.0,10.0
Alma Huston,0.9,8.7,0.5,0.4
Mitchell Littlejohn,2.1,0.1,9.1,1.0
Christina Nance,8.4,6.0,0.4,2.0
Larry Flores,10.0,6.2,10.0,7.5
Karen Breaux,5.3,3.6,1.0,4.6
Doris Cronk,8.0,6.1,5.2,9.1
Vanessa Jacobs,2.1,1.9,7.4,6.1
James Trew,5.4,8.0,8.3,7.0
Alonzo Claar,10.0,2.8,8.4,0.7
Josie Roberts,9.0,9.1,4.5,7.9
Randy Manlangit,8.5,7.3,10.0,0.3
Charles Garcia,2.0,8.7,3.0,8.7
Rena Cauthon,10.0,10.0,5.7,5.2
Jose Scott,8.1,8.4,1.9,2.1
Paul Mulholland,1.5,1.7,0.4,8.6
Ben Bratcher,9.2,5.9,0.1,8.3
Vicenta Baker,5.7,1.2,5.1,1.6
Nelson Wigington,4.2,5.9,4.8,0.1
Julie Keiser,1.1,5.5,5.0,5.9
James Barba,4.2,8.0,0.8,1.4
Joshua Joyner,5.0,0.2,8.2,10.0
Gladys Riehle,4.3,0.9,4.3,8.5
David Mccue,10.0,2.1,8.7,9.8
Lucy Rosso,2.5,0.9,4.0,0.8
Edith Maldonado,9.4,1.9,6.0,5.9
David Owens,10.0,0.6,7.2,2.2
Clifford Melcher,2.0,4.0,8.0,9.9
Ronald Prendergast,0.2,8.6,5.4,0.8
Donna Hall,6.3,4.3,6.8,7.5
James Rhyne,10.0,0.0,10.0,2.8
Danielle Green,2.0,10.0,9.7,4.5
Genevieve Fernandez,7.2,3.5,9.5,4.3
Terrell Hall,10.0,1.2,7.8,8.7
Irene Prow,7.9,5.2,3.5,1.4
Zachary Barjas,2.7,10.0,9.0,4.2
Susan Weir,7.6,3.1,3.0,9.0
Garry Edwards,2.4,2.2,1.6,1.1
Anne Thorton,2.0,8.1,2.0,1.0
Cheryl Ogle,7.6,6.7,2.7,1.8
Terence Kinney,9.8,3.6,10.0,7.3
Tracy Stanley,7.8,3.8,5.2,7.4
Roy Torpey,4.6,10.0,1.9,9.7
James Damon,5.1,2.1,1.6,4.8
Stephen Wood,3.2,9.6,8.9,8.1
Staci Almendarez,9.6,7.5,5.1,5.9
Ida King,7.8,9.6,10.0,4.6
Crystal Owens,3.1,2.5,10.0,9.4
Michael White,10.0,0.2,0.4,4.3
Freddie Grant,5.9,5.8,5.0,7.3
